match_id,timestamp_min,kills_diff,deaths_diff,assists_diff,gold_diff,cs_diff,level_diff,towers_diff,inhibs_diff,dragons_diff,heralds_diff,barons_diff,blue_win
NA1_5389814093,20,-3,3,-9,1183,34,-0.2,2,0,-1,1,0,0
NA1_5389814093,30,0,0,-10,2658,10,0.0,2,2,-2,1,1,0
NA1_5389785135,10,-5,5,-4,-1500,0,0.0,0,0,-1,0,0,0
NA1_5388413503,10,4,-4,5,2090,11,0.4,0,0,0,0,0,1
NA1_5388413503,20,11,-11,9,8588,44,0.4,5,0,0,1,0,1
NA1_5388378662,10,-2,2,1,-304,12,-0.4,0,0,-1,0,0,1
NA1_5388378662,20,-5,5,-8,-523,6,-0.6,2,0,-1,0,0,1
NA1_5388357331,10,-3,3,-8,-1028,-14,-0.2,0,0,-1,0,0,1
NA1_5388321873,10,1,-1,-2,751,-3,0.4,0,0,-1,0,0,0
NA1_5388321873,20,5,-5,6,2997,-5,0.8,2,0,-2,-1,0,0
NA1_5388282468,10,2,-2,7,457,-28,-0.4,0,0,0,0,0,1
NA1_5388282468,20,7,-7,16,4056,-21,0.6,2,0,0,1,0,1
NA1_5386086202,10,-1,1,-3,-101,1,0.2,0,0,-1,0,0,1
NA1_5386086202,20,-12,12,-19,-5809,1,-0.2,-1,0,-1,-1,0,1
NA1_5386086202,30,-17,17,-20,-6890,-6,-0.8,-3,0,-3,-1,0,1
NA1_5386065561,10,14,-14,13,6210,34,1.0,0,0,0,0,0,1
NA1_5386035393,10,2,-2,0,103,-15,0.0,0,0,-1,0,0,0
NA1_5386035393,20,-3,3,-4,-4535,-71,-0.4,-3,0,-3,-1,0,0
NA1_5386001812,10,-2,2,1,-169,-8,0.0,0,0,0,0,0,1
NA1_5386001812,20,4,-4,23,3509,15,0.8,0,0,-2,1,0,1
NA1_5386001812,30,9,-9,22,8422,128,1.0,9,2,-2,1,-1,1
NA1_5385969111,10,1,-1,-1,171,-20,-0.2,0,0,1,0,0,1
NA1_5385969111,20,9,-9,14,5731,0,1.2,1,0,1,-1,0,1
NA1_5385936662,10,-3,3,-3,-1023,25,-0.2,0,0,0,0,0,0
NA1_5385936662,20,-5,5,-12,-4406,-32,-0.8,-3,0,-2,-1,0,0
NA1_5385914151,10,-1,1,-1,406,20,0.2,0,0,1,0,0,1
NA1_5385875855,10,1,-1,2,534,14,-0.2,0,0,-1,0,0,0
NA1_5385875855,20,9,-9,17,75,-18,-0.2,-3,0,-1,-1,0,0
NA1_5385843460,10,4,-4,8,1634,15,0.0,0,0,0,0,0,1
NA1_5385798626,10,1,-1,-1,1305,13,0.4,0,0,0,0,0,1
NA1_5385798626,20,4,-4,0,4894,58,0.8,1,0,-2,1,0,1
NA1_5385798626,30,4,-4,-3,4338,56,0.4,7,2,0,1,-1,1
NA1_5385137222,10,0,0,-2,-229,-8,0.0,0,0,0,0,0,0
NA1_5385137222,20,-4,4,-13,-3927,-73,-0.4,-2,0,0,0,0,0
NA1_5385101556,10,6,-6,13,2432,-12,-0.2,0,0,1,0,0,0
NA1_5385101556,20,-1,1,1,-2569,-15,-0.8,-1,0,1,-1,0,0
NA1_5394788922,10,6,-6,5,3591,30,0.6,0,0,0,0,0,1
NA1_5394788922,20,6,-6,4,5281,43,0.8,2,0,2,1,0,1
NA1_5395478048,10,-1,1,2,-1096,-64,-0.6,0,0,-1,0,0,0
NA1_5395478048,20,-1,1,-2,-4457,-87,-0.2,-4,0,-2,-1,0,0
NA1_5395458674,10,-9,9,-6,-3225,-2,-0.8,0,0,0,0,0,0
NA1_5394042611,10,-5,5,-3,-3258,-41,-0.2,0,0,0,0,0,0
NA1_5394042611,20,-13,13,-8,-6349,-66,-0.8,0,0,-2,-1,0,0
NA1_5394042611,30,-19,19,-7,-12474,-108,-1.0,-5,-2,-4,-1,-1,0
NA1_5393991974,10,2,-2,-1,1065,46,0.2,0,0,0,0,0,0
NA1_5393991974,20,-6,6,-16,-3013,27,-0.4,0,0,-1,-1,0,0
NA1_5393991974,30,-10,10,-15,-901,2,-0.4,-5,-1,-3,-1,1,0
NA1_5393919562,10,2,-2,-2,1188,44,0.0,0,0,0,0,0,0
NA1_5393919562,20,1,-1,-9,387,46,0.0,-1,0,-2,-1,0,0
NA1_5393895912,10,4,-4,4,1587,17,0.6,0,0,0,0,0,0
NA1_5393895912,20,1,-1,6,446,-12,-0.4,0,0,-2,-1,0,0
NA1_5393895912,30,-6,6,-2,-4952,-15,-1.4,-1,0,-4,-1,-1,0
NA1_5393868532,10,4,-4,9,847,-36,0.4,0,0,0,0,0,1
NA1_5393868532,20,8,-8,20,3379,-3,1.0,0,0,2,1,0,1
NA1_5393849840,10,-2,2,-1,-257,13,0.0,0,0,0,0,0,0
NA1_5393849840,20,-6,6,-15,3413,22,0.0,6,0,-2,1,0,0
NA1_5393849840,30,-17,17,-31,-3452,44,-1.6,4,0,-2,1,-1,0
NA1_5391208866,10,-5,5,-6,-2041,-19,0.0,0,0,0,0,0,0
NA1_5391208866,20,-8,8,-19,-3833,-23,-0.4,-2,0,0,0,0,0
NA1_5391177334,10,-8,8,-10,-3169,-4,0.2,0,0,0,0,0,0
NA1_5391177334,20,-15,15,-29,-4264,-52,-0.6,-1,0,-2,-1,0,0
NA1_5391140720,10,4,-4,8,2283,24,0.2,0,0,1,0,0,1
NA1_5391140720,20,14,-14,4,10621,135,1.4,6,0,0,1,0,1
NA1_5391111412,10,0,0,-3,-865,-19,-0.2,0,0,-1,0,0,0
NA1_5391111412,20,-1,1,-8,-1991,-43,-0.4,-1,0,-1,1,0,0
